Mes,Unidad,Sucursal,Perspectiva,Indicador,Valor,Unidad de Medida
2024-06,Oficial 009,Sucursal 03,Experiencia,Tasa de reclamos,72.05,%
2024-06,Oficial 009,Sucursal 03,Experiencia,Tiempo de espera,73.48,Horas
2024-06,Oficial 010,Sucursal 04,Eficiencia,Tiempo de procesamiento,90.88,Horas
2024-06,Oficial 010,Sucursal 04,Eficiencia,Clientes atendidos por hora,93.12,Horas
2024-06,Oficial 010,Sucursal 04,Eficiencia,Tasa de errores,63.51,%
2024-06,Oficial 010,Sucursal 04,Calidad,Revisión manual necesaria,84.96,Horas
2024-06,Oficial 010,Sucursal 04,Calidad,Tasa de rechazo,82.46,%
2024-06,Oficial 010,Sucursal 04,Calidad,Cumplimiento de normativa,78.92,Horas
2024-06,Oficial 010,Sucursal 04,Experiencia,Satisfacción del cliente,69.11,Puntos
2024-06,Oficial 010,Sucursal 04,Experiencia,Tasa de reclamos,87.89,%
2024-06,Oficial 010,Sucursal 04,Experiencia,Tiempo de espera,90.2,Horas
2024-06,Oficial 011,Sucursal 04,Eficiencia,Tiempo de procesamiento,95.4,Horas
2024-06,Oficial 011,Sucursal 04,Eficiencia,Clientes atendidos por hora,90.96,Horas
2024-06,Oficial 011,Sucursal 04,Eficiencia,Tasa de errores,78.98,%
2024-06,Oficial 011,Sucursal 04,Calidad,Revisión manual necesaria,81.44,Horas
2024-06,Oficial 011,Sucursal 04,Calidad,Tasa de rechazo,66.53,%
2024-06,Oficial 011,Sucursal 04,Calidad,Cumplimiento de normativa,89.17,Horas
2024-06,Oficial 011,Sucursal 04,Experiencia,Satisfacción del cliente,83.78,Puntos
2024-06,Oficial 011,Sucursal 04,Experiencia,Tasa de reclamos,79.48,%
2024-06,Oficial 011,Sucursal 04,Experiencia,Tiempo de espera,93.28,Horas
2024-06,Oficial 012,Sucursal 04,Eficiencia,Tiempo de procesamiento,80.17,Horas
2024-06,Oficial 012,Sucursal 04,Eficiencia,Clientes atendidos por hora,64.33,Horas
2024-06,Oficial 012,Sucursal 04,Eficiencia,Tasa de errores,67.63,%
2024-06,Oficial 012,Sucursal 04,Calidad,Revisión manual necesaria,70.49,Horas
2024-06,Oficial 012,Sucursal 04,Calidad,Tasa de rechazo,63.62,%
2024-06,Oficial 012,Sucursal 04,Calidad,Cumplimiento de normativa,97.43,Horas
2024-06,Oficial 012,Sucursal 04,Experiencia,Satisfacción del cliente,75.08,Puntos
2024-06,Oficial 012,Sucursal 04,Experiencia,Tasa de reclamos,63.82,%
2024-06,Oficial 012,Sucursal 04,Experiencia,Tiempo de espera,92.86,Horas
2024-06,Oficial 013,Sucursal 05,Eficiencia,Tiempo de procesamiento,67.95,Horas
2024-06,Oficial 013,Sucursal 05,Eficiencia,Clientes atendidos por hora,69.33,Horas
2024-06,Oficial 013,Sucursal 05,Eficiencia,Tasa de errores,79.45,%
2024-06,Oficial 013,Sucursal 05,Calidad,Revisión manual necesaria,85.22,Horas
2024-06,Oficial 013,Sucursal 05,Calidad,Tasa de rechazo,79.17,%
2024-06,Oficial 013,Sucursal 05,Calidad,Cumplimiento de normativa,71.64,Horas
2024-06,Oficial 013,Sucursal 05,Experiencia,Satisfacción del cliente,62.07,Puntos
2024-06,Oficial 013,Sucursal 05,Experiencia,Tasa de reclamos,95.87,%
2024-06,Oficial 013,Sucursal 05,Experiencia,Tiempo de espera,82.71,Horas
2024-06,Oficial 014,Sucursal 05,Eficiencia,Tiempo de procesamiento,74.99,Horas
2024-06,Oficial 014,Sucursal 05,Eficiencia,Clientes atendidos por hora,61.83,Horas
2024-06,Oficial 014,Sucursal 05,Eficiencia,Tasa de errores,75.62,%
2024-06,Oficial 014,Sucursal 05,Calidad,Revisión manual necesaria,70.01,Horas
2024-06,Oficial 014,Sucursal 05,Calidad,Tasa de rechazo,88.24,%
2024-06,Oficial 014,Sucursal 05,Calidad,Cumplimiento de normativa,88.97,Horas
2024-06,Oficial 014,Sucursal 05,Experiencia,Satisfacción del cliente,83.61,Puntos
2024-06,Oficial 014,Sucursal 05,Experiencia,Tasa de reclamos,79.99,%
2024-06,Oficial 014,Sucursal 05,Experiencia,Tiempo de espera,69.99,Horas
2024-06,Oficial 015,Sucursal 05,Eficiencia,Tiempo de procesamiento,61.77,Horas
2024-06,Oficial 015,Sucursal 05,Eficiencia,Clientes atendidos por hora,92.83,Horas
2024-06,Oficial 015,Sucursal 05,Eficiencia,Tasa de errores,72.46,%
2024-06,Oficial 015,Sucursal 05,Calidad,Revisión manual necesaria,77.25,Horas
2024-06,Oficial 015,Sucursal 05,Calidad,Tasa de rechazo,97.71,%
2024-06,Oficial 015,Sucursal 05,Calidad,Cumplimiento de normativa,89.5,Horas
2024-06,Oficial 015,Sucursal 05,Experiencia,Satisfacción del cliente,73.51,Puntos
2024-06,Oficial 015,Sucursal 05,Experiencia,Tasa de reclamos,67.96,%
2024-06,Oficial 015,Sucursal 05,Experiencia,Tiempo de espera,76.49,Horas
2024-06,Oficial 016,Sucursal 06,Eficiencia,Tiempo de procesamiento,67.62,Horas
2024-06,Oficial 016,Sucursal 06,Eficiencia,Clientes atendidos por hora,68.51,Horas
2024-06,Oficial 016,Sucursal 06,Eficiencia,Tasa de errores,74.83,%
2024-06,Oficial 016,Sucursal 06,Calidad,Revisión manual necesaria,60.55,Horas
2024-06,Oficial 016,Sucursal 06,Calidad,Tasa de rechazo,98.54,%
2024-06,Oficial 016,Sucursal 06,Calidad,Cumplimiento de normativa,80.15,Horas
2024-06,Oficial 016,Sucursal 06,Experiencia,Satisfacción del cliente,81.81,Puntos
2024-06,Oficial 016,Sucursal 06,Experiencia,Tasa de reclamos,63.05,%
2024-06,Oficial 016,Sucursal 06,Experiencia,Tiempo de espera,92.02,Horas
2024-06,Oficial 017,Sucursal 06,Eficiencia,Tiempo de procesamiento,83.19,Horas
2024-06,Oficial 017,Sucursal 06,Eficiencia,Clientes atendidos por hora,99.28,Horas
2024-06,Oficial 017,Sucursal 06,Eficiencia,Tasa de errores,93.54,%
2024-06,Oficial 017,Sucursal 06,Calidad,Revisión manual necesaria,89.44,Horas
2024-06,Oficial 017,Sucursal 06,Calidad,Tasa de rechazo,90.0,%
2024-06,Oficial 017,Sucursal 06,Calidad,Cumplimiento de normativa,67.04,Horas
2024-06,Oficial 017,Sucursal 06,Experiencia,Satisfacción del cliente,72.19,Puntos
2024-06,Oficial 017,Sucursal 06,Experiencia,Tasa de reclamos,81.31,%
2024-06,Oficial 017,Sucursal 06,Experiencia,Tiempo de espera,95.91,Horas
2024-06,Oficial 018,Sucursal 06,Eficiencia,Tiempo de procesamiento,67.69,Horas
2024-06,Oficial 018,Sucursal 06,Eficiencia,Clientes atendidos por hora,95.51,Horas
2024-06,Oficial 018,Sucursal 06,Eficiencia,Tasa de errores,64.65,%
2024-06,Oficial 018,Sucursal 06,Calidad,Revisión manual necesaria,68.66,Horas
2024-06,Oficial 018,Sucursal 06,Calidad,Tasa de rechazo,61.0,%
2024-06,Oficial 018,Sucursal 06,Calidad,Cumplimiento de normativa,88.43,Horas
2024-06,Oficial 018,Sucursal 06,Experiencia,Satisfacción del cliente,99.92,Puntos
2024-06,Oficial 018,Sucursal 06,Experiencia,Tasa de reclamos,90.62,%
2024-06,Oficial 018,Sucursal 06,Experiencia,Tiempo de espera,76.01,Horas
2024-06,Oficial 019,Sucursal 07,Eficiencia,Tiempo de procesamiento,84.41,Horas
2024-06,Oficial 019,Sucursal 07,Eficiencia,Clientes atendidos por hora,87.29,Horas
2024-06,Oficial 019,Sucursal 07,Eficiencia,Tasa de errores,76.12,%
2024-06,Oficial 019,Sucursal 07,Calidad,Revisión manual necesaria,82.74,Horas
2024-06,Oficial 019,Sucursal 07,Calidad,Tasa de rechazo,70.13,%
2024-06,Oficial 019,Sucursal 07,Calidad,Cumplimiento de normativa,87.72,Horas
2024-06,Oficial 019,Sucursal 07,Experiencia,Satisfacción del cliente,92.19,Puntos
2024-06,Oficial 019,Sucursal 07,Experiencia,Tasa de reclamos,92.87,%
2024-06,Oficial 019,Sucursal 07,Experiencia,Tiempo de espera,74.43,Horas
2024-06,Oficial 020,Sucursal 07,Eficiencia,Tiempo de procesamiento,62.34,Horas
2024-06,Oficial 020,Sucursal 07,Eficiencia,Clientes atendidos por hora,85.21,Horas
2024-06,Oficial 020,Sucursal 07,Eficiencia,Tasa de errores,70.6,%
2024-06,Oficial 020,Sucursal 07,Calidad,Revisión manual necesaria,70.71,Horas
2024-06,Oficial 020,Sucursal 07,Calidad,Tasa de rechazo,78.17,%
2024-06,Oficial 020,Sucursal 07,Calidad,Cumplimiento de normativa,85.47,Horas
2024-06,Oficial 020,Sucursal 07,Experiencia,Satisfacción del cliente,66.16,Puntos
2024-06,Oficial 020,Sucursal 07,Experiencia,Tasa de reclamos,65.5,%
2024-06,Oficial 020,Sucursal 07,Experiencia,Tiempo de espera,60.24,Horas
2024-06,Oficial 021,Sucursal 07,Eficiencia,Tiempo de procesamiento,84.64,Horas
2024-06,Oficial 021,Sucursal 07,Eficiencia,Clientes atendidos por hora,80.43,Horas
2024-06,Oficial 021,Sucursal 07,Eficiencia,Tasa de errores,69.35,%
2024-06,Oficial 021,Sucursal 07,Calidad,Revisión manual necesaria,76.07,Horas
2024-06,Oficial 021,Sucursal 07,Calidad,Tasa de rechazo,82.09,%
2024-06,Oficial 021,Sucursal 07,Calidad,Cumplimiento de normativa,76.15,Horas
2024-06,Oficial 021,Sucursal 07,Experiencia,Satisfacción del cliente,92.66,Puntos
2024-06,Oficial 021,Sucursal 07,Experiencia,Tasa de reclamos,93.89,%
2024-06,Oficial 021,Sucursal 07,Experiencia,Tiempo de espera,73.94,Horas
2024-06,Oficial 022,Sucursal 08,Eficiencia,Tiempo de procesamiento,92.03,Horas
2024-06,Oficial 022,Sucursal 08,Eficiencia,Clientes atendidos por hora,68.0,Horas
2024-06,Oficial 022,Sucursal 08,Eficiencia,Tasa de errores,72.87,%
2024-06,Oficial 022,Sucursal 08,Calidad,Revisión manual necesaria,71.34,Horas
2024-06,Oficial 022,Sucursal 08,Calidad,Tasa de rechazo,85.5,%
2024-06,Oficial 022,Sucursal 08,Calidad,Cumplimiento de normativa,66.29,Horas
2024-06,Oficial 022,Sucursal 08,Experiencia,Satisfacción del cliente,60.42,Puntos
2024-06,Oficial 022,Sucursal 08,Experiencia,Tasa de reclamos,78.75,%
2024-06,Oficial 022,Sucursal 08,Experiencia,Tiempo de espera,98.09,Horas
2024-06,Oficial 023,Sucursal 08,Eficiencia,Tiempo de procesamiento,79.65,Horas
2024-06,Oficial 023,Sucursal 08,Eficiencia,Clientes atendidos por hora,62.48,Horas
2024-06,Oficial 023,Sucursal 08,Eficiencia,Tasa de errores,81.04,%
2024-06,Oficial 023,Sucursal 08,Calidad,Revisión manual necesaria,87.25,Horas
2024-06,Oficial 023,Sucursal 08,Calidad,Tasa de rechazo,71.49,%
2024-06,Oficial 023,Sucursal 08,Calidad,Cumplimiento de normativa,79.37,Horas
2024-06,Oficial 023,Sucursal 08,Experiencia,Satisfacción del cliente,68.16,Puntos
2024-06,Oficial 023,Sucursal 08,Experiencia,Tasa de reclamos,78.5,%
2024-06,Oficial 023,Sucursal 08,Experiencia,Tiempo de espera,91.89,Horas
2024-06,Oficial 024,Sucursal 08,Eficiencia,Tiempo de procesamiento,80.44,Horas
2024-06,Oficial 024,Sucursal 08,Eficiencia,Clientes atendidos por hora,75.48,Horas
2024-06,Oficial 024,Sucursal 08,Eficiencia,Tasa de errores,86.55,%
2024-06,Oficial 024,Sucursal 08,Calidad,Revisión manual necesaria,79.23,Horas
2024-06,Oficial 024,Sucursal 08,Calidad,Tasa de rechazo,91.52,%
2024-06,Oficial 024,Sucursal 08,Calidad,Cumplimiento de normativa,80.2,Horas
2024-06,Oficial 024,Sucursal 08,Experiencia,Satisfacción del cliente,94.08,Puntos
2024-06,Oficial 024,Sucursal 08,Experiencia,Tasa de reclamos,91.49,%
2024-06,Oficial 024,Sucursal 08,Experiencia,Tiempo de espera,68.22,Horas
2024-06,Oficial 025,Sucursal 09,Eficiencia,Tiempo de procesamiento,70.15,Horas
2024-06,Oficial 025,Sucursal 09,Eficiencia,Clientes atendidos por hora,85.11,Horas
2024-06,Oficial 025,Sucursal 09,Eficiencia,Tasa de errores,62.73,%
2024-06,Oficial 025,Sucursal 09,Calidad,Revisión manual necesaria,65.03,Horas
2024-06,Oficial 025,Sucursal 09,Calidad,Tasa de rechazo,76.74,%
2024-06,Oficial 025,Sucursal 09,Calidad,Cumplimiento de normativa,75.54,Horas
2024-06,Oficial 025,Sucursal 09,Experiencia,Satisfacción del cliente,82.46,Puntos
2024-06,Oficial 025,Sucursal 09,Experiencia,Tasa de reclamos,60.34,%
2024-06,Oficial 025,Sucursal 09,Experiencia,Tiempo de espera,96.31,Horas
2024-06,Oficial 026,Sucursal 09,Eficiencia,Tiempo de procesamiento,90.5,Horas
2024-06,Oficial 026,Sucursal 09,Eficiencia,Clientes atendidos por hora,89.59,Horas
2024-06,Oficial 026,Sucursal 09,Eficiencia,Tasa de errores,90.83,%
2024-06,Oficial 026,Sucursal 09,Calidad,Revisión manual necesaria,82.13,Horas
2024-06,Oficial 026,Sucursal 09,Calidad,Tasa de rechazo,60.46,%
2024-06,Oficial 026,Sucursal 09,Calidad,Cumplimiento de normativa,96.23,Horas
2024-06,Oficial 026,Sucursal 09,Experiencia,Satisfacción del cliente,75.42,Puntos
2024-06,Oficial 026,Sucursal 09,Experiencia,Tasa de reclamos,91.11,%
2024-06,Oficial 026,Sucursal 09,Experiencia,Tiempo de espera,99.78,Horas
2024-06,Oficial 027,Sucursal 09,Eficiencia,Tiempo de procesamiento,87.37,Horas
2024-06,Oficial 027,Sucursal 09,Eficiencia,Clientes atendidos por hora,87.13,Horas
2024-06,Oficial 027,Sucursal 09,Eficiencia,Tasa de errores,78.19,%
2024-06,Oficial 027,Sucursal 09,Calidad,Revisión manual necesaria,95.47,Horas
2024-06,Oficial 027,Sucursal 09,Calidad,Tasa de rechazo,79.29,%
2024-06,Oficial 027,Sucursal 09,Calidad,Cumplimiento de normativa,62.89,Horas
2024-06,Oficial 027,Sucursal 09,Experiencia,Satisfacción del cliente,90.9,Puntos
2024-06,Oficial 027,Sucursal 09,Experiencia,Tasa de reclamos,61.07,%
2024-06,Oficial 027,Sucursal 09,Experiencia,Tiempo de espera,95.53,Horas
2024-06,Oficial 028,Sucursal 10,Eficiencia,Tiempo de procesamiento,63.6,Horas
2024-06,Oficial 028,Sucursal 10,Eficiencia,Clientes atendidos por hora,72.63,Horas
2024-06,Oficial 028,Sucursal 10,Eficiencia,Tasa de errores,79.33,%
2024-06,Oficial 028,Sucursal 10,Calidad,Revisión manual necesaria,94.62,Horas
2024-06,Oficial 028,Sucursal 10,Calidad,Tasa de rechazo,76.7,%
2024-06,Oficial 028,Sucursal 10,Calidad,Cumplimiento de normativa,99.87,Horas
2024-06,Oficial 028,Sucursal 10,Experiencia,Satisfacción del cliente,81.8,Puntos
2024-06,Oficial 028,Sucursal 10,Experiencia,Tasa de reclamos,76.61,%
2024-06,Oficial 028,Sucursal 10,Experiencia,Tiempo de espera,77.26,Horas
2024-06,Oficial 029,Sucursal 10,Eficiencia,Tiempo de procesamiento,75.17,Horas
2024-06,Oficial 029,Sucursal 10,Eficiencia,Clientes atendidos por hora,95.86,Horas
2024-06,Oficial 029,Sucursal 10,Eficiencia,Tasa de errores,85.98,%
2024-06,Oficial 029,Sucursal 10,Calidad,Revisión manual necesaria,78.86,Horas
2024-06,Oficial 029,Sucursal 10,Calidad,Tasa de rechazo,65.19,%
2024-06,Oficial 029,Sucursal 10,Calidad,Cumplimiento de normativa,97.69,Horas
2024-06,Oficial 029,Sucursal 10,Experiencia,Satisfacción del cliente,92.24,Puntos
2024-06,Oficial 029,Sucursal 10,Experiencia,Tasa de reclamos,88.97,%
2024-06,Oficial 029,Sucursal 10,Experiencia,Tiempo de espera,91.86,Horas
2024-06,Oficial 030,Sucursal 10,Eficiencia,Tiempo de procesamiento,83.12,Horas
2024-06,Oficial 030,Sucursal 10,Eficiencia,Clientes atendidos por hora,88.03,Horas
2024-06,Oficial 030,Sucursal 10,Eficiencia,Tasa de errores,75.46,%
2024-06,Oficial 030,Sucursal 10,Calidad,Revisión manual necesaria,69.52,Horas
2024-06,Oficial 030,Sucursal 10,Calidad,Tasa de rechazo,94.21,%
2024-06,Oficial 030,Sucursal 10,Calidad,Cumplimiento de normativa,70.95,Horas
2024-06,Oficial 030,Sucursal 10,Experiencia,Satisfacción del cliente,65.67,Puntos
2024-06,Oficial 030,Sucursal 10,Experiencia,Tasa de reclamos,63.88,%
2024-06,Oficial 030,Sucursal 10,Experiencia,Tiempo de espera,86.54,Horas
2024-06,Oficial 031,Sucursal 11,Eficiencia,Tiempo de procesamiento,83.29,Horas
2024-06,Oficial 031,Sucursal 11,Eficiencia,Clientes atendidos por hora,72.5,Horas
2024-06,Oficial 031,Sucursal 11,Eficiencia,Tasa de errores,63.42,%
2024-06,Oficial 031,Sucursal 11,Calidad,Revisión manual necesaria,69.31,Horas
2024-06,Oficial 031,Sucursal 11,Calidad,Tasa de rechazo,89.53,%
2024-06,Oficial 031,Sucursal 11,Calidad,Cumplimiento de normativa,80.14,Horas
2024-06,Oficial 031,Sucursal 11,Experiencia,Satisfacción del cliente,99.87,Puntos
2024-06,Oficial 031,Sucursal 11,Experiencia,Tasa de reclamos,92.31,%
2024-06,Oficial 031,Sucursal 11,Experiencia,Tiempo de espera,83.85,Horas
2024-06,Oficial 032,Sucursal 11,Eficiencia,Tiempo de procesamiento,80.31,Horas
2024-06,Oficial 032,Sucursal 11,Eficiencia,Clientes atendidos por hora,79.81,Horas
2024-06,Oficial 032,Sucursal 11,Eficiencia,Tasa de errores,70.94,%
2024-06,Oficial 032,Sucursal 11,Calidad,Revisión manual necesaria,60.04,Horas
2024-06,Oficial 032,Sucursal 11,Calidad,Tasa de rechazo,63.53,%
2024-06,Oficial 032,Sucursal 11,Calidad,Cumplimiento de normativa,76.77,Horas
2024-06,Oficial 032,Sucursal 11,Experiencia,Satisfacción del cliente,85.32,Puntos
2024-06,Oficial 032,Sucursal 11,Experiencia,Tasa de reclamos,88.37,%
2024-06,Oficial 032,Sucursal 11,Experiencia,Tiempo de espera,86.57,Horas
2024-06,Oficial 033,Sucursal 11,Eficiencia,Tiempo de procesamiento,64.48,Horas
2024-06,Oficial 033,Sucursal 11,Eficiencia,Clientes atendidos por hora,66.48,Horas
2024-06,Oficial 033,Sucursal 11,Eficiencia,Tasa de errores,60.04,%
2024-06,Oficial 033,Sucursal 11,Calidad,Revisión manual necesaria,85.01,Horas
2024-06,Oficial 033,Sucursal 11,Calidad,Tasa de rechazo,90.62,%
2024-06,Oficial 033,Sucursal 11,Calidad,Cumplimiento de normativa,76.61,Horas
2024-06,Oficial 033,Sucursal 11,Experiencia,Satisfacción del cliente,93.21,Puntos
2024-06,Oficial 033,Sucursal 11,Experiencia,Tasa de reclamos,71.54,%
2024-06,Oficial 033,Sucursal 11,Experiencia,Tiempo de espera,85.73,Horas
2024-06,Oficial 034,Sucursal 12,Eficiencia,Tiempo de procesamiento,92.02,Horas
2024-06,Oficial 034,Sucursal 12,Eficiencia,Clientes atendidos por hora,65.31,Horas
2024-06,Oficial 034,Sucursal 12,Eficiencia,Tasa de errores,60.88,%
2024-06,Oficial 034,Sucursal 12,Calidad,Revisión manual necesaria,86.42,Horas
2024-06,Oficial 034,Sucursal 12,Calidad,Tasa de rechazo,75.72,%
2024-06,Oficial 034,Sucursal 12,Calidad,Cumplimiento de normativa,60.36,Horas
2024-06,Oficial 034,Sucursal 12,Experiencia,Satisfacción del cliente,72.22,Puntos
2024-06,Oficial 034,Sucursal 12,Experiencia,Tasa de reclamos,98.91,%
2024-06,Oficial 034,Sucursal 12,Experiencia,Tiempo de espera,78.2,Horas
2024-06,Oficial 035,Sucursal 12,Eficiencia,Tiempo de procesamiento,79.58,Horas
2024-06,Oficial 035,Sucursal 12,Eficiencia,Clientes atendidos por hora,66.46,Horas
2024-06,Oficial 035,Sucursal 12,Eficiencia,Tasa de errores,67.29,%
2024-06,Oficial 035,Sucursal 12,Calidad,Revisión manual necesaria,71.73,Horas
2024-06,Oficial 035,Sucursal 12,Calidad,Tasa de rechazo,76.03,%
2024-06,Oficial 035,Sucursal 12,Calidad,Cumplimiento de normativa,76.24,Horas
2024-06,Oficial 035,Sucursal 12,Experiencia,Satisfacción del cliente,80.85,Puntos
2024-06,Oficial 035,Sucursal 12,Experiencia,Tasa de reclamos,82.12,%
2024-06,Oficial 035,Sucursal 12,Experiencia,Tiempo de espera,66.57,Horas
2024-06,Oficial 036,Sucursal 12,Eficiencia,Tiempo de procesamiento,61.48,Horas
